name,domain,linkedin_url,headquarters,location,description,primary_industry,size,revenue_range,revenue_currency,country,company_type,employee_count,revenue_usd_m,rank,category,write_idempotency_key
Riderz Mexico,riderzmexico.com,https://linkedin.com/company/riderz-mexico,"Mexico City, Mexico",Mexico,"Riderz Mexico is a retail company specializing in providing innovative and high-quality products to customers across Mexico. The company focuses on delivering exceptional customer experiences and aims to establish itself as a leader in the retail market. Despite its current growth stage, Riderz Mexico is committed to expanding its operations and market presence.",Retail,51-200 employees,Under $10M,USD,Mexico,Private Company,51,0.0,201.0,Retail,ddebcf930f4a2d1b226ce446a193ee68
Rifo SRL,rifo.com,https://linkedin.com/company/rifo-srl,"Prato, Tuscany, Italy",Italy,"Rifo SRL is a retail company based in Italy, specializing in sustainable and eco-friendly fashion products. The company focuses on creating high-quality clothing and accessories using recycled materials, catering to environmentally conscious consumers. Rifo is committed to promoting circular economy practices in the fashion industry.",Sustainable Fashion,11-50 employees,Under $10M,USD,Italy,Private Company,25,0.0,202.0,Retail,226a5639e80236ec5edc46c9988f477a
Rimac Ltd,rimac-automobili.com,https://linkedin.com/company/rimac-automobili,"Sveta Nedelja, Zagreb County, Croatia",Global,"Rimac Ltd is a Croatian company specializing in the design and production of high-performance electric vehicles, drivetrains, and battery systems. Known for its cutting-edge technology and innovation, Rimac has established itself as a leader in the electric hypercar market and a key supplier to major automotive manufacturers.",Automotive Manufacturing,"1,001-5,000 employees",Under $10M,USD,Japan,Private Company,2000,0.0,203.0,Retail,98ed3a6fd28ac4508082291febdedf3c
Rinseroo,rinseroo.com,https://linkedin.com/company/rinseroo,"New Jersey, USA","New Jersey, USA","Rinseroo is a retail company specializing in innovative home cleaning solutions, including their flagship product, a universal rinse attachment for sinks and showers. The company focuses on providing practical and affordable tools for everyday cleaning tasks.",Consumer Goods,1-10 employees,Under $10M,USD,United States,Private Company,10,0.0,205.0,Retail,38222660cf7d8a253f7c517a169e0d80
Rimi Baltic SIA,rimibaltic.com,https://linkedin.com/company/rimi-baltic,"Riga, Latvia",Latvia,"Rimi Baltic SIA is a leading retail chain operating in the Baltic region, offering a wide range of grocery and household products. The company operates supermarkets and hypermarkets under the Rimi brand, focusing on quality, convenience, and sustainability. It is a key player in the retail market across Latvia, Lithuania, and Estonia.",Retail,"10,001+ employees",Under $10M,USD,Latvia,Private Company,12000,0.0,204.0,Retail,7d56c20d22e02f0cc5976da7519f51ad
Shell Canada Ltd.,shell.ca,https://linkedin.com/company/shell-canada,"Calgary, Alberta, Canada",Canada,"Shell Canada Ltd. is a subsidiary of Royal Dutch Shell, a global energy company. It operates in the oil and gas sector, providing fuel, lubricants, and energy solutions to consumers and businesses across Canada. The company is a leader in sustainable energy initiatives and innovation within the Canadian market.",Oil & Gas,"10,001+ employees",Under $10M,USD,Canada,Private Company,10000,0.0,207.0,Retail,f1d0b01c6a3fba588c20a1b5ada1b858
RKP Ventures LLC dba Obsessive Ventures,obsessiveventures.com,https://linkedin.com/company/obsessive-ventures,"Florida, USA","Florida, USA",Obsessive Ventures is a retail-focused company specializing in innovative and customer-centric solutions. They aim to redefine the retail experience through cutting-edge strategies and a commitment to excellence. The company is positioned to serve a diverse market with a focus on growth and innovation.,Retail Innovation,1-10 employees,Under $10M,USD,United States,Private Company,10,0.0,206.0,Retail,25398e1244fa6ee074d7d29eed71c9a1
RobRoySW,robroysw.com,https://linkedin.com/company/robroysw,"New York, NY, USA","New York, USA","RobRoySW is a retail company based in New York, USA, specializing in providing innovative solutions and products to its customers. Despite its current unknown status, the company aims to establish a strong presence in the retail market.",Retail,11-50 employees,Under $10M,USD,United States,Private Company,50,0.0,208.0,Retail,e72bb77c96bea4bc7b7603b9fb65727c
Rock Solid Supply Inc,rocksolidsupply.com,https://linkedin.com/company/rock-solid-supply-inc,"Toronto, Ontario, Canada",Canada,"Rock Solid Supply Inc is a Canadian retail company specializing in high-quality home improvement products and supplies. They cater to both residential and commercial markets, offering a wide range of solutions for kitchens, bathrooms, and other home renovation needs.",Home Improvement Retail,51-200 employees,Under $10M,USD,Canada,Private Company,150,0.0,209.0,Retail,cd4db4113b0f9cfbce0c860eab811bba
Rod The Mens Den,rodthemensden.com,https://linkedin.com/company/rod-the-mens-den,"Port of Spain, Trinidad and Tobago","Port of Spain, Trinidad and Tobago","Rod The Mens Den is a retail company specializing in men's fashion and grooming products. Based in Trinidad and Tobago, the company aims to provide high-quality products tailored to the modern man. It serves a niche market with a focus on style and personal care.",Fashion Retail,11-50 employees,Under $10M,USD,Trinidad and Tobago,Private Company,25,0.0,210.0,Retail,90a5f92f841a14ea6822f9e5549655ee
Romarin Internacional,romarininternacional.com,https://linkedin.com/company/romarin-internacional,"Panama City, Panama",Panama,"Romarin Internacional is a retail company based in Panama, specializing in providing a diverse range of consumer goods. Despite its current rank, the company is focused on expanding its market presence and delivering quality products to its customers.",Retail,51-200 employees,Under $10M,USD,Panama,Private Company,51,0.0,212.0,Retail,e3c57a0705be8057fd3fa313e0354f3c
Roku,roku.com,https://linkedin.com/company/roku,"San Jose, California, USA",Global,"Roku is a leading provider of streaming platforms and devices, enabling users to access a wide range of entertainment content, including movies, TV shows, and live channels. The company is known for its innovative streaming technology and partnerships with major content providers, making it a key player in the digital entertainment industry.",Consumer Electronics,"1,001-5,000 employees",Under $10M,USD,United States,Private Company,3000,0.0,211.0,Retail,24c74fa374e753942062a0b4fccc5827
RONA Inc,rona.ca,https://linkedin.com/company/rona,"Boucherville, Quebec, Canada",Canada,"RONA Inc is a Canadian retailer specializing in home improvement and construction products. The company operates a network of stores offering a wide range of hardware, building materials, and home renovation solutions. RONA is a well-known brand in the Canadian retail market, catering to both DIY enthusiasts and professional contractors.",Home Improvement Retail,"10,001+ employees",Under $10M,USD,Canada,Private Company,22000,0.0,213.0,Retail,af759e15c49627057368343fb88288b4
The Rosenstein Group,rosensteingroup.com,https://linkedin.com/company/the-rosenstein-group,"Seattle, WA, USA","Seattle, WA, USA","The Rosenstein Group is a retail company based in Washington, USA, specializing in providing a diverse range of consumer goods. Despite its relatively small market presence, the company aims to deliver quality products and exceptional customer service. It operates primarily within the local and regional markets.",Retail,51-200 employees,Under $10M,USD,United States,Private Company,51,0.0,214.0,Retail,7cd0037823bfb7e43d62ba585be97b2f
Route,route.com,https://linkedin.com/company/routeapp,"Lehi, Utah, USA",Global,"Route is a technology company specializing in package tracking and e-commerce solutions. It provides tools for merchants and consumers to track shipments, manage orders, and enhance the online shopping experience. The company is known for its innovative approach to simplifying logistics and improving customer satisfaction.",E-commerce,201-500 employees,Under $10M,USD,United States,Private Company,201,0.0,215.0,Retail,5839f15cf3551756b20540fc4256fafb
Rowan,heyrowan.com,https://linkedin.com/company/heyrowan,"New York, NY, USA","New York, NY, USA","Rowan is a retail company specializing in ear piercing and hypoallergenic jewelry. They focus on providing safe, stylish, and professional ear piercing services, catering to a wide range of customers. Rowan is known for its commitment to safety and high-quality products.",Beauty & Cosmetics,51-200 employees,Under $10M,USD,United States,Private Company,200,0.0,216.0,Retail,c7e133dcb988b1a1af6ff90307e88170
Royce' Chocolate,royce.com,https://linkedin.com/company/royce-chocolate,"New York, NY, USA",Global,"Royce' Chocolate is a premium confectionery brand known for its high-quality chocolates and unique offerings such as Nama Chocolate and Potatochip Chocolate. Originating from Japan, the company has expanded globally, offering luxurious treats that blend traditional craftsmanship with innovative flavors.",Confectionery,201-500 employees,Under $10M,USD,United States,Private Company,500,0.0,217.0,CPG,40fe97d676c127b5ca8ef225d3056ccd
Royce' Confect USA Inc,royceconfectusa.com,https://linkedin.com/company/royce-confect-usa,"New York, NY, USA","New York, USA","Royce' Confect USA Inc is a premium confectionery company specializing in high-quality chocolates and sweets. Known for its Japanese craftsmanship and unique flavors, the company caters to a niche market of chocolate enthusiasts in the United States.",Confectionery,11-50 employees,Under $10M,USD,United States,Private Company,50,0.0,218.0,CPG,f9ed9bff2bb226690a403c3ae3d239c8
Royce New York Emporium Leather,roycenewyork.com,https://linkedin.com/company/royce-new-york,"Secaucus, New Jersey, USA","Secaucus, New Jersey, USA","Royce New York Emporium Leather specializes in crafting high-quality leather goods, including wallets, bags, and accessories. Known for its timeless designs and exceptional craftsmanship, the company caters to both individual consumers and corporate clients. Royce New York is recognized for its commitment to sustainability and premium materials.",Luxury Leather Goods,11-50 employees,Under $10M,USD,United States,Private Company,25,0.0,219.0,Retail,5f187b9e58973927cfd5b528e4dbfee4
Rudegon,rudegon.com,https://linkedin.com/company/rudegon,"São Paulo, Brazil",Brazil,"Rudegon is a retail company based in Brazil, specializing in providing a wide range of consumer goods to local and regional markets. Despite its current rank, the company is focused on expanding its market presence and improving its offerings to better serve its customers.",Retail,51-200 employees,Under $10M,USD,Brazil,Private Company,51,0.0,220.0,Retail,27122b5f08a90c29ce4380698fc651e6
Road Runner Sports Inc,roadrunnersports.com,https://linkedin.com/company/road-runner-sports,"San Diego, California, USA","San Diego, California, USA","Road Runner Sports Inc is a leading retailer specializing in running shoes, apparel, and accessories. The company offers a wide range of products designed for runners and fitness enthusiasts, with a focus on personalized fitting and customer service. It is recognized for its innovative approach to footwear and commitment to supporting active lifestyles.",Retail,201-500 employees,Under $10M,USD,United States,Private Company,500,0.0,221.0,Retail,c37fb258051df262f4ca6c8af0e38f48
Quimicolor,quimicolor.com,https://linkedin.com/company/quimicolor,"Bogotá, Colombia",Colombia,"Quimicolor is a retail company specializing in chemical products and solutions for various industries. Based in Colombia, the company provides high-quality products tailored to meet the needs of its customers in the local market.",Chemical Retail,51-200 employees,Under $10M,USD,Colombia,Private Company,51,0.0,222.0,Retail,bfc45114b1221107fe79bdaaf248a761
Rachel Comey,rachelcomey.com,https://linkedin.com/company/rachel-comey,"New York, NY, USA","New York, USA","Rachel Comey is a fashion retail company known for its unique and artistic designs in clothing, footwear, and accessories. The brand caters to a niche market with a focus on craftsmanship and sustainability, gaining recognition in the contemporary fashion industry.",Fashion Retail,51-200 employees,Under $10M,USD,United States,Private Company,51,0.0,223.0,Retail,8b9a3e5532053054d0054ce4a9e94714
Rachio,rachio.com,https://linkedin.com/company/rachio,"Denver, Colorado, USA","Denver, Colorado, USA","Rachio is a leading provider of smart irrigation solutions, offering innovative products that help homeowners and businesses optimize water usage. Their flagship product, the Rachio Smart Sprinkler Controller, integrates with smart home systems to promote sustainable water management. The company is recognized for its commitment to environmental conservation and user-friendly technology.",Consumer Electronics,51-200 employees,Under $10M,USD,United States,Private Company,51,0.0,224.0,Retail,e17973076c94fbb932036227a9e69075
Rack Room Shoes,rackroomshoes.com,https://linkedin.com/company/rack-room-shoes,"Charlotte, North Carolina, USA",United States,"Rack Room Shoes is a leading footwear retailer offering a wide selection of shoes for men, women, and children. Known for its affordable pricing and quality products, the company operates numerous stores across the United States and serves customers with both in-store and online shopping experiences.",Fashion Retail,"1,001-5,000 employees",Under $10M,USD,United States,Private Company,5000,0.0,225.0,Retail,0abd24a3b06b9ac1011974db98778e60
Supermercado Monte Serrat,supermercadomonteserrat.com.br,https://linkedin.com/company/supermercado-monte-serrat,Brazil,Brazil,"Supermercado Monte Serrat is a retail company based in Brazil, specializing in providing a wide range of grocery and household products to local communities. Known for its customer-centric approach, the company aims to deliver quality goods at competitive prices.",Grocery Retail,201-500 employees,Under $10M,USD,Brazil,Private Company,201,0.0,428.0,Retail,3f6363c82cb414b192919eac6d6efe91
Supermercado Mais Rodrigues,supermercadomaisrodrigues.com.br,https://linkedin.com/company/supermercado-mais-rodrigues,"São Paulo, São Paulo, Brazil",Brazil,"Supermercado Mais Rodrigues is a retail company based in Brazil, specializing in providing a wide range of grocery and household products to local communities. Known for its customer-centric approach, the company aims to deliver quality products at competitive prices. It operates primarily in the Brazilian market, serving as a trusted name in the retail sector.",Grocery Retail,201-500 employees,Under $10M,USD,Brazil,Private Company,250,0.0,427.0,Retail,8a090b9a6012d78faeed489126169d4d
Supermercado Takahashi Ltda,supermercadotakahashi.com.br,https://linkedin.com/company/supermercado-takahashi-ltda,"São Paulo, Brazil",Brazil,"Supermercado Takahashi Ltda is a retail company based in Brazil, specializing in providing a wide range of grocery and household products to local communities. Known for its customer-centric approach, the company aims to deliver quality goods at competitive prices.",Grocery Retail,51-200 employees,Under $10M,USD,Brazil,Private Company,150,0.0,430.0,Retail,449f680d0f5bae46327f094a1891dc99
Supermercado Playero,supermercadoplayero.com,https://linkedin.com/company/supermercado-playero,"Santo Domingo, Dominican Republic",Dominican Republic,"Supermercado Playero is a retail company based in the Dominican Republic, specializing in providing a wide range of grocery and household products. Known for its customer-centric approach, the company serves local communities with quality goods at competitive prices. It is a trusted name in the Dominican retail market.",Grocery Retail,201-500 employees,Under $10M,USD,Dominican Republic,Private Company,200,0.0,429.0,Retail,25d63e7d3005503a8d7e5e13d4f872a6
Supermercado Via Bahia,supermercadoviabahia.com.br,https://linkedin.com/company/supermercado-via-bahia,"Salvador, Bahia, Brazil",Brazil,"Supermercado Via Bahia is a retail company based in Brazil, specializing in providing a wide range of grocery and household products to local communities. Known for its customer-centric approach, the company serves as a trusted supermarket chain in the Bahia region.",Grocery Retail,201-500 employees,Under $10M,USD,Brazil,Private Company,500,0.0,431.0,Retail,dea752a7f82979df4b5f36bf964c7965
Supermercados Caetano,supermercadoscaetano.com.br,https://linkedin.com/company/supermercados-caetano,"São Paulo, São Paulo, Brazil",Brazil,"Supermercados Caetano is a retail company based in Brazil, specializing in providing a wide range of grocery and household products to local communities. Known for its customer-centric approach, the company aims to deliver quality goods at competitive prices, serving as a trusted supermarket chain in the region.",Grocery Retail,"1,001-5,000 employees",Under $10M,USD,Brazil,Private Company,1200,0.0,432.0,Retail,42abd57917d7bcbf61cdbd65054dd237
Supermercados Econo,econopr.com,https://linkedin.com/company/supermercados-econo,"San Juan, Puerto Rico, USA","Puerto Rico, USA","Supermercados Econo is a leading supermarket chain in Puerto Rico, offering a wide range of grocery products, fresh produce, and household essentials. Known for its competitive prices and community-focused approach, the company serves as a trusted retailer for local consumers.",Supermarket Retail,"1,001-5,000 employees",Under $10M,USD,United States,Private Company,1500,0.0,433.0,Retail,ec493a56c4ca986b09ba9e527b866e6f
Supermercados El Dorado,supermercadoseldorado.com,https://linkedin.com/company/supermercados-el-dorado,"Montevideo, Uruguay",Uruguay,"Supermercados El Dorado is a retail company based in Uruguay, specializing in providing a wide range of grocery and household products to local consumers. Known for its commitment to quality and customer service, the company serves as a trusted supermarket chain in the region.",Grocery Retail,201-500 employees,Under $10M,USD,Uruguay,Private Company,500,0.0,434.0,Retail,f694714fe062993d5319c665e7aff4f7
SweetLily Skincare,sweetlilyskincare.com,https://linkedin.com/company/sweetlily-skincare,"Virginia, Massachusetts, USA","Virginia, USA","SweetLily Skincare specializes in creating high-quality, natural skincare products designed to enhance beauty and promote healthy skin. The company focuses on sustainable and eco-friendly practices, catering to a growing market of conscious consumers. Their product line includes moisturizers, cleansers, and serums tailored for various skin types.",Beauty & Cosmetics,11-50 employees,Under $10M,USD,United States,Private Company,25,0.0,435.0,CPG,9a009f9c20916bc385a38c7ef6b09f21
Supermercados La Torre,supermercadoslatorre.com,https://linkedin.com/company/supermercados-la-torre,"Guatemala City, Guatemala",Guatemala,"Supermercados La Torre is a leading retail chain in Guatemala, specializing in grocery and household products. Known for its customer-centric approach, the company operates numerous stores across the country, providing high-quality goods and services to local communities.",Grocery Retail,"1,001-5,000 employees",Under $10M,USD,Guatemala,Private Company,5000,0.0,436.0,Retail,62df748b031ff48ecb79667341df0866
Supermercados Pague Menos,paguemenos.com.br,https://linkedin.com/company/supermercados-pague-menos,Brazil,Brazil,"Supermercados Pague Menos is a Brazilian retail chain specializing in providing a wide range of grocery and household products. Known for its competitive pricing and customer-focused services, the company operates primarily within Brazil, catering to local communities with quality products and convenience.",Retail,"501-1,000 employees",Under $10M,USD,Brazil,Private Company,1000,0.0,438.0,Retail,9fc253ec191ca6a8c2b721d205570a48
Supermercados Lopes,supermercadoslopes.com.br,https://linkedin.com/company/supermercados-lopes,"São Paulo, Brazil",Brazil,"Supermercados Lopes is a Brazilian retail chain specializing in grocery and household products. Known for its customer-centric approach, the company operates multiple stores across São Paulo and surrounding regions, catering to local communities with affordable and quality goods.",Grocery Retail,"1,001-5,000 employees",Under $10M,USD,Brazil,Private Company,3000,0.0,437.0,Retail,12b8df2bc310e2691b2fce3203d9cf41
Supermercados Treviso,supermercadostreviso.com.br,https://linkedin.com/company/supermercados-treviso,"São Paulo, Brazil",Brazil,"Supermercados Treviso is a Brazilian retail company specializing in providing a wide range of grocery and household products. Known for its commitment to quality and customer service, the company operates primarily in Brazil, serving local communities with affordable and fresh products.",Grocery Retail,201-500 employees,Under $10M,USD,Brazil,Private Company,500,0.0,440.0,Retail,770debc793c314f8b98fdd168a5cb67d
Supermercados Redepas Castilho,redepascastilho.com.br,https://linkedin.com/company/supermercados-redepas-castilho,Brazil,Brazil,"Supermercados Redepas Castilho is a Brazilian retail company specializing in supermarket operations. It provides a wide range of grocery products, household items, and everyday essentials to customers across its locations. The company is known for its commitment to quality and customer service in the Brazilian retail market.",Supermarkets & Grocery Retail,201-500 employees,Under $10M,USD,Brazil,Private Company,500,0.0,439.0,Retail,2eb65345db10ea4abd4779cecefd5975
"Supertiendas y Droguerías Olímpica, S.A.",olimpica.com,https://linkedin.com/company/olimpica,"Barranquilla, Atlántico, Colombia",Colombia,"Supertiendas y Droguerías Olímpica, S.A. is one of Colombia's largest retail chains, offering a wide range of products including groceries, household goods, and pharmaceuticals. Known for its strong presence in the Colombian market, Olímpica operates supermarkets, hypermarkets, and drugstores, catering to diverse customer needs.",Retail and Pharmaceuticals,"10,001+ employees",Under $10M,USD,Colombia,Private Company,20000,0.0,441.0,Retail,34e2fdd07f3703f0ac32ddc63bd874fb
Supportek,supportek.com,https://linkedin.com/company/supportek,"Denver, Colorado, USA","Denver, Colorado, USA","Supportek is a retail company specializing in providing innovative customer support solutions and services. The company focuses on enhancing customer experiences through cutting-edge technology and personalized support strategies. Despite its smaller scale, Supportek aims to establish itself as a trusted partner in the retail support industry.",Customer Support Solutions,51-200 employees,Under $10M,USD,United States,Private Company,51,0.0,442.0,Retail,29cd10393d7c934b930a183551c0c8cd
Supreme,supremenewyork.com,https://linkedin.com/company/supreme-new-york,"New York, NY, USA",Global,"Supreme is a globally recognized streetwear brand known for its exclusive and limited-edition apparel, accessories, and skateboarding products. Founded in New York City, the company has established itself as a cultural icon in the fashion and skateboarding communities, collaborating with high-profile brands and artists.",Fashion Retail,201-500 employees,Under $10M,USD,United States,Private Company,500,0.0,443.0,Retail,fbd3ad3a8f8997283df7b3f14fbfd14a
Sutherland Lumber Co,sutherlands.com,https://linkedin.com/company/sutherland-lumber,"Kansas City, Missouri, USA",United States,"Sutherland Lumber Co is a family-owned retail company specializing in home improvement and building materials. With a strong presence in the Midwest, the company offers a wide range of products including lumber, hardware, tools, and home improvement supplies. Known for its customer-focused approach, Sutherland Lumber Co serves both DIY enthusiasts and professional contractors.",Home Improvement Retail,"501-1,000 employees",Under $10M,USD,United States,Private Company,1000,0.0,444.0,Retail,d494d8b84f7de20cda5c3c20516c7f6c
SVS Powersports,svspowersports.com,https://linkedin.com/company/svs-powersports,"New York, NY, USA","New York, NY, USA","SVS Powersports specializes in retailing powersports equipment, accessories, and services. The company caters to enthusiasts of motorcycles, ATVs, and other recreational vehicles, providing high-quality products and exceptional customer service. It aims to be a trusted name in the powersports retail industry.",Powersports Retail,51-200 employees,Under $10M,USD,United States,Private Company,51,0.0,445.0,Retail,f5d104a5bb5f6ba7d7f4ccd8355efc1e
Swanson Health Products,swanson.com,https://linkedin.com/company/swanson-health-products,"Fargo, North Dakota, USA","Fargo, North Dakota, USA","Swanson Health Products is a leading provider of health and wellness products, including vitamins, supplements, and natural health solutions. The company is known for its commitment to quality, affordability, and customer satisfaction, serving a wide range of consumers seeking to improve their overall well-being.",Health & Wellness,201-500 employees,Under $10M,USD,United States,Private Company,500,0.0,446.0,CPG,36f68f020a7ed58df8a7c4f029b33705
Supermercados Internacionales HEB S.A. de C.V.,heb.com.mx,https://linkedin.com/company/heb-mexico,"Monterrey, Nuevo León, Mexico",Mexico,"Supermercados Internacionales HEB S.A. de C.V. operates as the Mexican division of H-E-B, a leading supermarket chain. The company offers a wide range of grocery products, fresh produce, household goods, and private-label items. Known for its high-quality offerings and customer service, HEB Mexico serves as a prominent player in the retail sector within the country.",Supermarkets & Grocery Retail,"10,001+ employees",Under $10M,USD,Mexico,Private Company,20000,0.0,447.0,Retail,69a86622ecbcb53b7b52c6fb9ce9c94b
Totaram Jewelers Online,totaram.com,https://linkedin.com/company/totaram-jewelers-online,"New Jersey, USA","New Jersey, USA","Totaram Jewelers Online specializes in high-quality gold and diamond jewelry, offering a wide range of traditional and contemporary designs. The company caters to customers globally, focusing on Indian and South Asian jewelry styles. Known for its craftsmanship and authenticity, it has established a strong presence in the online retail market.",E-commerce,11-50 employees,Under $10M,USD,United States,Private Company,25,0.0,448.0,Retail,f4385d254ee3046288e1af4ab53f0a75
TOV Furniture,tovfurniture.com,https://linkedin.com/company/tov-furniture,"New York, NY, USA","New York, USA","TOV Furniture is a modern furniture retailer specializing in stylish, high-quality, and affordable home furnishings. The company offers a wide range of products, including sofas, chairs, tables, and decor, catering to contemporary and chic design preferences. TOV Furniture is known for its commitment to craftsmanship and innovative designs.",Furniture Retail,51-200 employees,Under $10M,USD,United States,Private Company,75,0.0,449.0,Retail,c9535e60a8c768d87c182fbec3dbe99c
Town & Country Living,townandcountryliving.com,https://linkedin.com/company/town-and-country-living,"New York, NY, USA","New York, USA","Town & Country Living is a leading provider of home textiles, specializing in kitchen, dining, and bath products. The company designs and manufactures high-quality, stylish, and functional products for consumers and retailers. With a strong presence in the retail sector, it caters to both domestic and international markets.",Home Textiles,201-500 employees,Under $10M,USD,United States,Private Company,300,0.0,450.0,Retail,b036dd4bebe79632d89725d1c0326aca
Toxic Stores,toxicstores.com,https://linkedin.com/company/toxic-stores,"Mexico City, Mexico",Mexico,"Toxic Stores is a retail company based in Mexico, specializing in providing a diverse range of consumer goods. Despite its current revenue status, the company aims to establish a foothold in the competitive retail market. Its operations focus on delivering quality products to local and regional customers.",Retail,51-200 employees,Under $10M,USD,Mexico,Private Company,51,0.0,451.0,Retail,6d2a76414e3555e9326eec3d7169b9d3
Toyo Suisan Kaisha,toyo-suisan.co.jp,https://linkedin.com/company/toyo-suisan-kaisha,"Tokyo, Japan",Japan,"Toyo Suisan Kaisha is a leading Japanese company specializing in food production, particularly instant noodles, frozen foods, and seafood products. Known for its popular 'Maruchan' brand, the company serves both domestic and international markets with a focus on quality and innovation.",Food & Beverage,"5,001-10,000 employees",Under $10M,USD,Japan,Private Company,5000,0.0,452.0,Retail,1efb3f23aa0df102b75a31706258b506
Tozetto e Cia LTDA,tozetto.com.br,https://linkedin.com/company/tozetto-e-cia-ltda,Brazil,Brazil,"Tozetto e Cia LTDA is a retail company based in Brazil, specializing in providing a wide range of consumer goods to local markets. Known for its commitment to quality and customer service, the company serves as a trusted name in the Brazilian retail industry.",Retail,201-500 employees,Under $10M,USD,Brazil,Private Company,201,0.0,453.0,Retail,515b3fd7fbe6b9c98c329cc619c9dd77
TransLink Capital,translinkcapital.com,https://linkedin.com/company/translink-capital,"Palo Alto, California, USA",Global,"TransLink Capital is a venture capital firm specializing in early-stage investments, primarily focusing on technology startups. The company connects entrepreneurs with strategic partners in Asia and provides resources to help businesses scale globally.",Venture Capital,11-50 employees,Under $10M,USD,United States,Private Company,25,0.0,454.0,Retail,61b216cfaa564b1a872ee39ad8df04e4
Travel Golf Gear,travelgolfgear.com,https://linkedin.com/company/travel-golf-gear,"Philadelphia, Pennsylvania, USA","Philadelphia, Pennsylvania, USA","Travel Golf Gear specializes in providing high-quality golf equipment and travel accessories for golf enthusiasts. The company focuses on delivering innovative and durable products tailored to meet the needs of golfers on the go. With a commitment to customer satisfaction, they aim to be a trusted name in the retail golf industry.",Sporting Goods Retail,11-50 employees,Under $10M,USD,United States,Private Company,25,0.0,455.0,Retail,0df2ccbcf3809bef151aa0d27a5e646a
The Travel Store,thetravelstore.com,https://linkedin.com/company/the-travel-store,"New York, NY, USA","New York, NY, USA","The Travel Store is a retail company specializing in travel-related products and accessories. They offer a wide range of items including luggage, travel gear, and essentials for travelers. Known for their customer-centric approach, they cater to both individual and corporate clients.",Travel Retail,51-200 employees,Under $10M,USD,United States,Private Company,150,0.0,456.0,Retail,e586dfe099fa31852a846386e74e540f
Travis Mathew,travismathew.com,https://linkedin.com/company/travis-mathew,"Huntington Beach, California, USA","Huntington Beach, California, USA","Travis Mathew is a premium lifestyle brand specializing in men's apparel, footwear, and accessories. Known for its blend of performance and casual style, the company caters to golf enthusiasts and those seeking versatile, high-quality clothing. It has established a strong presence in the retail and sportswear market.",Fashion Retail,201-500 employees,Under $10M,USD,United States,Private Company,500,0.0,457.0,Retail,87a4e94d9bacd0fa2de2b5ad45e4a638
Trevi,trevi.ca,https://linkedin.com/company/trevi,"Montreal, Quebec, Canada",Canada,"Trevi is a Canadian retail company specializing in high-quality products for home improvement and leisure, including pools, spas, and outdoor furniture. Known for its commitment to customer satisfaction, Trevi serves a diverse clientele across Canada with innovative solutions and exceptional service.",Home Improvement & Leisure Retail,201-500 employees,Under $10M,USD,Canada,Private Company,500,0.0,458.0,Retail,aa51fb9fd3bb3068b0ae874951b952d0
Tenis Charly,charly.com.mx,https://linkedin.com/company/tenis-charly,"León, Guanajuato, Mexico",Mexico,"Tenis Charly is a leading Mexican retail company specializing in athletic footwear, apparel, and accessories. Known for its high-quality products and innovative designs, the company caters to sports enthusiasts and casual wear customers across Mexico and beyond. It has established itself as a prominent brand in the sportswear market.",Fashion Retail,"501-1,000 employees",Under $10M,USD,Mexico,Private Company,1000,0.0,459.0,Retail,2052ad426f470e1f6090c43fb37f69d3
Tropa Animal Pet Shop,tropaanimalpetshop.com,https://linkedin.com/company/tropa-animal-pet-shop,Brazil,Brazil,"Tropa Animal Pet Shop is a retail company specializing in pet products and services. They offer a wide range of items for pet care, including food, accessories, and grooming supplies, catering to pet owners across Brazil. The company is committed to providing quality products and excellent customer service.",Pet Retail,51-200 employees,Under $10M,USD,Brazil,Private Company,51,0.0,460.0,Retail,a96e945202b773830e7b635fd37256a8
Tropic Maloprodaja doo,tropic.ba,https://linkedin.com/company/tropic-maloprodaja-doo,"Banja Luka, Bosnia and Herzegovina",Bosnia and Herzegovina,"Tropic Maloprodaja doo is a retail company based in Bosnia and Herzegovina, specializing in providing a wide range of consumer goods through its network of stores. The company focuses on delivering quality products and exceptional customer service to meet the needs of local communities.",Retail,201-500 employees,Under $10M,USD,Bosnia and Herzegovina,Private Company,500,0.0,461.0,Retail,509864fe0fa7925280bd066bca532ea8
Tropical Smoothie Cafe,tropicalsmoothiecafe.com,https://linkedin.com/company/tropical-smoothie-cafe,"Atlanta, Georgia, USA","Atlanta, Georgia, USA","Tropical Smoothie Cafe is a leading fast-casual restaurant chain specializing in smoothies, wraps, sandwiches, and bowls. Known for its focus on fresh, healthy ingredients, the company has established a strong presence in the U.S. market with hundreds of locations nationwide.",Fast-Casual Restaurants,201-500 employees,Under $10M,USD,United States,Private Company,500,0.0,462.0,Retail,ef81b08f5fa362978c3284b048b5a581
True Value Company,truevalue.com,https://linkedin.com/company/true-value-company,"Chicago, Illinois, USA",Global,"True Value Company is a leading retailer-owned hardware cooperative that provides high-quality hardware, tools, and home improvement products. With a strong presence across the United States and internationally, the company supports independent retailers and offers a wide range of services to help them succeed in the competitive retail market.",Hardware Retail,"1,001-5,000 employees",Under $10M,USD,United States,Private Company,2500,0.0,464.0,Retail,1103470d0886278f6a7fd14c6e3068dd
