name,domain,linkedin_url,headquarters,location,description,primary_industry,size,revenue_range,revenue_currency,country,company_type,employee_count,revenue_usd_m,write_idempotency_key
"Femsa Comercio, S.A. De C.V.",femsa.com,https://linkedin.com/company/femsa,"Monterrey, Mexico",Mexico,"FEMSA Comercio, S.A. de C.V. operates a chain of retail stores, including convenience stores, pharmacies, and fuel stations, primarily in Mexico and Latin America. It is a leading player in the retail industry, offering a wide range of products and services to its customers.",Convenience Retail,"10,001+ employees",$10B+,USD,Mexico,Private Company,300000,26839.0,f184987e5e20c8e98aba451eaba152f2
Frasers Group Plc,frasers.group,https://linkedin.com/company/frasers-group,"Shirebrook, United Kingdom",United Kingdom,"Frasers Group Plc is a leading retail group specializing in sports, lifestyle, and luxury brands. The company operates a diverse portfolio of stores and e-commerce platforms across Europe and beyond.",Retail And Consumer Goods,"10,001+ employees",$1B - $10B,USD,United Kingdom,Private Company,25000,6706.0,74744212d0e6adffc05b6fc6f1ee5f1d
Frieslandcampina,frieslandcampina.com,https://linkedin.com/company/frieslandcampina,"Amersfoort, Netherlands",Global,"FrieslandCampina is a multinational dairy cooperative that produces and markets a wide range of dairy-based products, including milk, cheese, butter, and infant nutrition. The company is committed to providing high-quality, sustainable nutrition to consumers worldwide.",Dairy Products,"10,001+ employees",$10B+,USD,Netherlands,Public Company,23000,13245.0,b417ab8fd3c49977b923af0de0a4ee18
Gamestop Corp.,gamestop.com,https://linkedin.com/company/gamestop,"Grapevine, United States",North America,"GameStop Corp. is a leading retailer of video games, consumer electronics, and gaming merchandise, operating both physical stores and an e-commerce platform.",Video Game Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,12000,5273.0,7814d59d2f264fe47d8b79f56dc11084
Giant Eagle,gianteagle.com,https://linkedin.com/company/giant-eagle,"Pittsburgh, United States",United States,"Giant Eagle is a leading American supermarket chain offering groceries, pharmacy services, and fuel stations, serving communities across the Midwest and Northeast regions.",Supermarkets And Grocery Retail,"10,001+ employees",$10B+,USD,United States,Private Company,37000,10000.0,98a7e1a40105da2656dbee8168f01a49
Globus Holding Gmbh & Co. KG,globus.de,https://linkedin.com/company/globus,"St. Wendel, Germany",Germany,"Globus Holding GmbH & Co. KG is a leading German retail company specializing in hypermarkets, DIY stores, and consumer goods. It operates primarily in Germany and neighboring European countries.",Hypermarkets And Supercenters,"10,001+ employees",$10B+,USD,Germany,Private Company,46000,10522.0,38d10783a1b29c844e339be2f7b4a4bf
Groupe Adeo SA,adeo.com,https://linkedin.com/company/groupe-adeo,"Ronchin, France",Europe,"Groupe Adeo SA is a leading retail company specializing in home improvement, DIY, and construction products, operating across multiple countries in Europe and beyond.",Home Improvement Retail,"10,001+ employees",$10B+,USD,France,Private Company,130000,31952.0,db88f47b7e0519fb30050a27f5fc79a2
"Great American Outdoors Group, LLC",basspro.com,https://linkedin.com/company/bass-pro-shops,"Springfield, United States",North America,"Great American Outdoors Group, LLC, formerly known as Bass Pro Group, LLC, is a leading retailer specializing in outdoor recreation products, including fishing, hunting, camping, and boating gear. The company operates Bass Pro Shops and Cabela's stores across the United States and Canada.",Outdoor Recreation Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,40000,7920.0,c4ad8a20364113eda3d971417db244be
Groupe SEB,groupeseb.com,https://linkedin.com/company/groupe-seb,"Écully, France",Global,"Groupe SEB is a leading global manufacturer of small domestic appliances and cookware, offering innovative solutions for everyday household needs. The company operates across multiple brands, including Tefal, Rowenta, and Krups.",Small Domestic Appliances And Cookware,"10,001+ employees",$1B - $10B,USD,France,Public Company,34000,8861.0,0d5c584f3d214adad2adcf571c0283c1
Groupe Lactalis,lactalis.com,https://linkedin.com/company/lactalis,"Laval, France",Global,"Groupe Lactalis is a multinational dairy products corporation specializing in the production and distribution of cheese, milk, butter, and other dairy products. It is one of the largest dairy companies in the world, serving customers globally.",Dairy Products,"10,001+ employees",$10B+,USD,France,Public Company,85000,24000.0,dd88c80ba3dcd42e5253fe4e0f3630c5
Grupo Casas Bahia S.A.,casasbahia.com.br,https://linkedin.com/company/grupo-casas-bahia,"São Caetano do Sul, Brazil",Brazil,"Grupo Casas Bahia S.A. is a leading retail company in Brazil, specializing in consumer electronics, furniture, and home appliances. Formerly known as Via S.A. or Via Varejo S.A., the company operates a vast network of stores and e-commerce platforms.",Consumer Electronics And Retail,"10,001+ employees",$1B - $10B,USD,Brazil,Private Company,10000,5943.0,a05ce4d103319a85e5b101b4ba562f2e
"Grupo Comercial Chedraui, S.A.B. De C.V.",chedraui.com.mx,https://linkedin.com/company/chedraui,"Xalapa, Mexico",Mexico,"Grupo Comercial Chedraui, S.A.B. de C.V. is a leading retail company in Mexico, operating supermarkets and hypermarkets that offer a wide range of products, including groceries, clothing, and household goods. The company also has a presence in the United States through its El Super and Smart & Final stores.",Supermarkets And Hypermarkets,"10,001+ employees",$10B+,USD,Mexico,Private Company,47000,15407.0,fc8bacf0e994f86b0a57d145ee53fe61
Grupo Eroski,eroski.es,https://linkedin.com/company/eroski,"Elorrio, Spain",Spain,"Grupo Eroski is a leading Spanish retail cooperative specializing in supermarkets, hypermarkets, and convenience stores, offering a wide range of food and non-food products. The company is committed to sustainability, local sourcing, and customer satisfaction.",Supermarkets And Retail,"10,001+ employees",$1B - $10B,USD,Spain,Private Company,33000,5470.0,42714f6a55eab205d7952a2228411011
Gruppo Eurospin,eurospin.it,https://linkedin.com/company/eurospin,"San Martino Buon Albergo, Italy",Italy,"Gruppo Eurospin is a leading Italian discount retail chain specializing in grocery and household products, offering high-quality goods at competitive prices.",Discount Retail,"10,001+ employees",$1B - $10B,USD,Italy,Private Company,15000,9500.0,5a44556017bb8a6deeaf0691de21cd07
"GS Retail Co., Ltd.",gsretail.com,https://linkedin.com/company/gs-retail,"Seoul, South Korea",South Korea,"GS Retail Co., Ltd. is a leading South Korean retail company operating convenience stores, supermarkets, and other retail formats. The company focuses on providing high-quality products and services to meet the needs of its customers.",Convenience Stores And Supermarkets,"10,001+ employees",$1B - $10B,USD,South Korea,Private Company,12000,8553.0,2c54680ec94799bf52d892668c3ca765
H2O Retailing Corporation,h2o-retailing.co.jp,https://linkedin.com/company/h2o-retailing-corporation,"Osaka, Japan",Japan,"H2O Retailing Corporation operates as a retail company in Japan, managing department stores, supermarkets, and other retail businesses. It focuses on providing high-quality products and services to its customers.",Department Stores And Supermarkets,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,10000,6624.0,f5b50babdeb2ee5c7c64995427aeab2f
Hanesbrands Inc.,hanes.com,https://linkedin.com/company/hanesbrands,"Winston-Salem, United States",Global,"HanesBrands Inc. is a leading global marketer of everyday basic apparel under some of the world's strongest apparel brands, including Hanes, Champion, and Playtex. The company designs, manufactures, and sells clothing essentials such as underwear, activewear, and socks.",Apparel & Fashion,"10,001+ employees",$1B - $10B,USD,United States,Public Company,59000,5637.0,f8dd31eed9b246b8659d87a9bae14890
"Haier Smart Home Co., Ltd.",haier.com,https://linkedin.com/company/haier,"Qingdao, China",Global,"Haier Smart Home Co., Ltd. is a leading global provider of smart home solutions and appliances, offering innovative and high-quality products to enhance modern living. The company specializes in smart home ecosystems, including refrigerators, washing machines, air conditioners, and more.",Home Appliances And Smart Home Solutions,"10,001+ employees",$10B+,USD,China,Public Company,100000,36529.0,83d51fd6c17c7c9825381fc1a3221c58
H-E-B Grocery Company LP,heb.com,https://linkedin.com/company/h-e-b,"San Antonio, United States",United States,"H-E-B Grocery Company LP is a privately-owned supermarket chain that operates over 400 stores across Texas and Mexico, offering groceries, household items, and pharmacy services.",Supermarkets & Grocery Stores,"10,001+ employees",$10B+,USD,United States,Private Company,145000,43600.0,90ccb0bf505c92307eeaed97af8672aa
Heineken N.V.,heineken.com,https://linkedin.com/company/heineken,"Amsterdam, Netherlands",Global,"Heineken N.V. is one of the world's leading brewers, producing and distributing premium beer and cider brands across the globe. The company is known for its flagship Heineken beer and operates in over 190 countries.",Beverages - Alcoholic,"10,001+ employees",$10B+,USD,Netherlands,Public Company,85000,31250.0,97abab7958ddcda5c18cc0d1586329f4
Henkel AG,henkel.com,https://linkedin.com/company/henkel,"Düsseldorf, Germany",Global,"Henkel AG is a multinational company specializing in consumer and industrial products, including adhesives, beauty care, and laundry & home care solutions.",Consumer Packaged Goods,"10,001+ employees",$10B+,USD,Germany,Public Company,50000,23285.0,b7e6979d7714491c1db54a82d655ffc0
Henkel AG & Co. Kgaa,henkel.com,https://linkedin.com/company/henkel,"Düsseldorf, Germany",Global,"Henkel AG & Co. KGaA is a multinational company specializing in consumer and industrial products, including adhesives, beauty care, and laundry & home care solutions. It operates globally with a strong focus on innovation and sustainability.",Consumer Packaged Goods,"10,001+ employees",$10B+,USD,Germany,Public Company,50000,22406.0,7406b4c160605037c36a24a46a1d5658
Hermès International,hermes.com,https://linkedin.com/company/hermes,"Paris, France",Global,"Hermès International is a French luxury goods manufacturer specializing in leather goods, lifestyle accessories, home furnishings, perfumery, jewelry, watches, and ready-to-wear. Known for its craftsmanship and iconic products, Hermès is a leader in the global luxury market.",Luxury Goods,"10,001+ employees",$10B+,USD,France,Public Company,19000,15019.0,7e6b297c4baa28bf9d5b03f3fd063e56
Hershey Co.,hersheycompany.com,https://linkedin.com/company/the-hershey-company,"Hershey, United States",Global,"Hershey Co. is a leading global confectionery company known for its iconic chocolate and candy brands, including Hershey's, Reese's, and Kit Kat. The company also produces snacks and beverages, serving customers worldwide.",Confectionery And Snacks,"10,001+ employees",$10B+,USD,United States,Public Company,19000,11165.0,463e3746ba812c0d9f0a743460c98219
H&M Hennes & Mauritz AB,hm.com,https://linkedin.com/company/h&m,"Stockholm, Sweden",Global,"H&M Hennes & Mauritz AB is a leading global fashion retailer offering clothing, accessories, and home goods at affordable prices. The company operates in multiple markets worldwide with a focus on sustainability and innovation.",Apparel & Fashion,"10,001+ employees",$10B+,USD,Sweden,Private Company,155000,20932.0,f0deeb8a885cee7b2651bf1b21f5513b
"Hobby Lobby Stores, Inc.",hobbylobby.com,https://linkedin.com/company/hobby-lobby,"Oklahoma City, United States",United States,"Hobby Lobby Stores, Inc. is a privately-owned retail chain specializing in arts and crafts supplies, home decor, and seasonal items. The company operates hundreds of stores across the United States.",Arts And Crafts Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,43000,7110.0,65d9a10b52586c2028e2c4f411d662db
Hobby Lobby Stores,hobbylobby.com,https://linkedin.com/company/hobby-lobby,"Oklahoma City, United States",United States,"Hobby Lobby Stores is a private retail company specializing in arts and crafts supplies, home decor, and seasonal products. It operates over 900 stores across the United States.",Arts And Crafts Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,43000,7100.0,cf2c346bca9a2ac77e48da2c1ca67699
"Homeplus Co., Ltd.",homeplus.co.kr,https://linkedin.com/company/homeplus,"Seoul, South Korea",South Korea,"Homeplus Co., Ltd. is a leading retail company in South Korea, offering a wide range of products through its hypermarkets, supermarkets, and online platforms.",Hypermarkets And Supercenters,"10,001+ employees",$1B - $10B,USD,South Korea,Private Company,25000,5190.0,1bc75bb682841cc8fc68063a171bf512
Hormel Foods Corporation,hormelfoods.com,https://linkedin.com/company/hormel-foods,"Austin, United States",Global,"Hormel Foods Corporation is a multinational manufacturer and marketer of high-quality, branded food and meat products. The company is known for its iconic brands such as Spam, Skippy, and Hormel Chili.",Food Production,"10,001+ employees",$10B+,USD,United States,Public Company,20000,12463.0,ffadd0b4dd31e2152c7a915cf994db0c
Hornbach Baumarkt AG Group,hornbach.com,https://linkedin.com/company/hornbach,"Bornheim, Germany",Europe,"Hornbach Baumarkt AG Group is a leading European DIY and home improvement retailer, offering a wide range of products for construction, renovation, and gardening projects.",Diy Retail And Home Improvement,"10,001+ employees",$1B - $10B,USD,Germany,Private Company,23000,6258.0,d540033a7669dfad9ebe3bfdf94044d1
Hy-Vee,hy-vee.com,https://linkedin.com/company/hy-vee,"West Des Moines, United States",United States,"Hy-Vee is a leading employee-owned retail chain operating supermarkets, pharmacies, and convenience stores across the Midwest. Known for its customer service and wide range of products, Hy-Vee also offers online shopping and delivery services.",Supermarkets And Grocery Stores,"10,001+ employees",$10B+,USD,United States,Private Company,93000,12500.0,7352982b9779c295cda9ae1c0421f6ea
ICA Gruppen AB,ica.se,https://linkedin.com/company/ica-gruppen-ab,"Stockholm, Sweden",Sweden,"ICA Gruppen AB is a leading retail company in Sweden, operating grocery stores, pharmacies, and financial services to meet consumer needs.",Grocery Retail,"10,001+ employees",$10B+,USD,Sweden,Private Company,23000,14188.0,2ac998e8c0ed6698635f5647f9162b9c
"Inditex, S.A.",inditex.com,https://linkedin.com/company/inditex,"Arteixo, Spain",Global,"Inditex, S.A. is one of the world's largest fashion retailers, operating brands such as Zara, Massimo Dutti, Pull&Bear, and Bershka. The company specializes in fast fashion, offering trendy clothing and accessories at affordable prices.",Fashion Retail,"10,001+ employees",$10B+,USD,Spain,Private Company,165000,38935.0,843e3b430ee931675729f92200d0c20a
Imperial Tobacco Group,imperialbrandsplc.com,https://linkedin.com/company/imperial-brands,"Bristol, United Kingdom",Global,"Imperial Tobacco Group, now known as Imperial Brands, is a multinational company specializing in the manufacturing and marketing of tobacco and related products. It operates globally, offering a wide range of cigarettes, cigars, and next-generation products.",Tobacco Products,"10,001+ employees",$10B+,USD,United Kingdom,Public Company,32000,39847.0,42de4f583f642b547b927d68b2f9fdf3
Inditex (Zara),inditex.com,https://linkedin.com/company/inditex,"Arteixo, Spain",Global,"Inditex is one of the world's largest fashion retailers, known for its flagship brand Zara, offering fast-fashion clothing and accessories for men, women, and children.",Fashion Retail,"10,001+ employees",$10B+,USD,Spain,Private Company,165000,35945.0,e4a654fd8cca4d7c8a767a1748e7d98f
Inretail Perú Corp.,inretail.pe,https://linkedin.com/company/inretail-peru-corp,"Lima, Peru",Peru,"InRetail Perú Corp. is a leading retail company in Peru, operating supermarkets, pharmacies, and shopping centers across the country. It focuses on providing high-quality products and services to its customers.",Retail And Consumer Goods,"10,001+ employees",$1B - $10B,USD,,Private Company,12000,5237.0,8ca9f7721fc23bcb9320feaddaddd88e
JB Hi-Fi Limited,jbhifi.com.au,https://linkedin.com/company/jb-hi-fi,"Melbourne, Australia",Australia,"JB Hi-Fi Limited is a leading Australian retailer specializing in consumer electronics, home appliances, and entertainment products. The company operates a network of stores across Australia and New Zealand, offering a wide range of products at competitive prices.",Consumer Electronics Retail,"5,001-10,000 employees",$1B - $10B,USD,Australia,Private Company,9000,6398.0,6a6d2e8ab5fe3bf3e8c60960ca80fe53
"Japan Tobacco, Inc.",jt.com,https://linkedin.com/company/japan-tobacco,"Tokyo, Japan",Global,"Japan Tobacco, Inc. is a leading international tobacco company that manufactures and sells a wide range of tobacco products, including cigarettes and reduced-risk products. The company operates globally and is committed to innovation and sustainability.",Tobacco Products,"10,001+ employees",$10B+,USD,Japan,Public Company,58000,19590.0,5c53e760c31e1a743771150d889a0d36
J.C. Penney Company,jcpenney.com,https://linkedin.com/company/jcpenney,"Plano, United States",United States,"J.C. Penney Company is a leading American department store chain offering a wide range of apparel, home goods, and accessories. The company operates retail stores and an e-commerce platform to serve customers nationwide.",Department Stores,"10,001+ employees",$1B - $10B,USD,United States,Private Company,50000,7600.0,e6a5595a80c6ccb51f53a29207f88650
JD Sports Fashion Plc,jdsports.co.uk,https://linkedin.com/company/jd-sports-fashion-plc,"Bury, United Kingdom",Global,"JD Sports Fashion Plc is a leading retailer of sportswear, footwear, and outdoor clothing, operating globally with a focus on branded and own-label products.",Sportswear And Fashion Retail,"10,001+ employees",$10B+,USD,United Kingdom,Private Company,60000,13080.0,a24034e4cbc780c25aa8701863d0791a
JD Sports,jdsports.co.uk,https://linkedin.com/company/jd-sports-fashion-plc,"Bury, United Kingdom",Global,"JD Sports is a leading retailer of sports fashion, footwear, and outdoor brands, operating globally with a strong presence in Europe, Asia, and the United States.",Sportswear And Fashion Retail,"10,001+ employees",$10B+,USD,United Kingdom,Private Company,60000,11000.0,9ef3e18a24691c5638ce8233927508b1
J.M. Smucker Co.,jmsmucker.com,https://linkedin.com/company/the-jm-smucker-co,"Orrville, United States",North America,"The J.M. Smucker Co. is a leading manufacturer of consumer packaged goods, specializing in food and beverage products, including iconic brands such as Smucker's, Jif, and Folgers.",Food And Beverage Manufacturing,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,7000,8529.0,45f690c82c7d3ad72ec9aea911b360ea
Johnson & Johnson Consumer Health,jnj.com,https://linkedin.com/company/johnson-&-johnson-consumer-health,"New Brunswick, United States",Global,"Johnson & Johnson Consumer Health is a division of Johnson & Johnson, specializing in consumer packaged goods, including health, wellness, and personal care products.",Health And Wellness Products,"10,001+ employees",$10B+,USD,United States,Public Company,20000,15092.0,f8d5906b7e6da6b05ed5ab7807fe05ba
JYSK Group,jysk.com,https://linkedin.com/company/jysk,"Brabrand, Denmark",Global,"JYSK Group is a Danish retail chain that specializes in selling household goods such as mattresses, furniture, and home decor. It operates in multiple countries across Europe and beyond, offering affordable and quality products.",Home Furnishings Retail,"10,001+ employees",$1B - $10B,USD,Denmark,Private Company,30000,5621.0,0b504908b4a7992d1df8545c74f88de7
Kimberly-Clark Corporation,kimberly-clark.com,https://linkedin.com/company/kimberly-clark,"Irving, United States",Global,"Kimberly-Clark Corporation is a multinational company specializing in the production of essential consumer products such as diapers, tissues, and personal care items under brands like Huggies, Kleenex, and Scott.",Personal Care Products,"10,001+ employees",$10B+,USD,United States,Public Company,45000,19434.0,aab7b3a39feb0700d5fccaced25730f5
Kohl'S Corporation,kohls.com,https://linkedin.com/company/kohls,"Menomonee Falls, United States",United States,"Kohl's Corporation is a leading American retail chain offering a wide range of apparel, footwear, home goods, and accessories. The company operates department stores across the United States, catering to diverse customer needs.",Department Stores,"10,001+ employees",$10B+,USD,United States,Private Company,110000,17164.0,4a6be0c84aec680e270cba9441855ab3
Koninklijke Jumbo Food Groep B.V.,jumbo.com,https://linkedin.com/company/jumbo-supermarkten,"Veghel, Netherlands",Netherlands,Koninklijke Jumbo Food Groep B.V. is a leading Dutch retail company specializing in supermarkets and food retail. It operates a chain of stores offering a wide range of groceries and household products.,Supermarkets And Grocery Retail,"10,001+ employees",$1B - $10B,USD,Netherlands,Private Company,100000,9588.0,7b4badbb435ae5b298f61da13db2a108
Kraft Heinz,kraftheinzcompany.com,https://linkedin.com/company/kraft-heinz,"Chicago, United States",Global,"The Kraft Heinz Company is one of the largest food and beverage companies in the world, offering a wide range of iconic brands and products to consumers globally.",Food And Beverage,"10,001+ employees",$10B+,USD,United States,Public Company,38000,26640.0,b76e37b7e088228062581e792191d4f9
K'S Holdings Corporation,ksdenki.com,https://linkedin.com/company/ks-holdings-corporation,"Tokyo, Japan",Japan,"K's Holdings Corporation is a leading retail company specializing in consumer electronics and home appliances, serving customers across Japan with high-quality products and services.",Consumer Electronics Retail,"5,001-10,000 employees",$1B - $10B,USD,Japan,Private Company,7000,4745.0,0461c531ce6c5ab4bd506ca860b27e32
Kwik Trip Inc,kwiktrip.com,https://linkedin.com/company/kwik-trip,"La Crosse, United States",United States,"Kwik Trip Inc is a privately-owned convenience store chain offering fuel, groceries, and ready-to-eat food items across the Midwest region of the United States.",Convenience Stores,"10,001+ employees",$1B - $10B,USD,United States,Private Company,32000,7000.0,aefe7f5901919edb8163847cd3291e96
Lactalis,lactalis.com,https://linkedin.com/company/lactalis,"Laval, France",Global,"Lactalis is a multinational dairy products corporation specializing in the production and distribution of cheese, milk, butter, and other dairy products. It is one of the largest dairy companies in the world, serving customers globally.",Dairy Products,"10,001+ employees",$10B+,USD,France,Public Company,85000,24156.0,54183bd70b922207845c74ab9d163e91
Les Mousquetaires,mousquetaires.com,https://linkedin.com/company/les-mousquetaires,"Bondoufle, France",Europe,"Les Mousquetaires is a French retail group operating a network of supermarkets, hypermarkets, and convenience stores under various brands, including Intermarché. The company is known for its cooperative model and focus on providing quality products at competitive prices.",Retail - Supermarkets And Hypermarkets,"10,001+ employees",$10B+,USD,France,Private Company,150000,43377.0,d50b4bed810a889c551552b5cfa55ce9
LVMH Moët Hennessy Louis Vuitton,lvmh.com,https://linkedin.com/company/lvmh,"Paris, France",Global,"LVMH Moët Hennessy Louis Vuitton is a world leader in luxury goods, specializing in fashion, cosmetics, wines, spirits, jewelry, and more. The company owns iconic brands such as Louis Vuitton, Dior, Moët & Chandon, and Bulgari.",Luxury Goods,"10,001+ employees",$10B+,USD,France,Public Company,196000,94444.0,72aa677598c55d0d7412ab8562667da2
Majid Al Futtaim Holding LLC,majidalfuttaim.com,https://linkedin.com/company/majid-al-futtaim,"Dubai, United Arab Emirates",Global,"Majid Al Futtaim Holding LLC is a leading retail and leisure conglomerate operating shopping malls, supermarkets, and entertainment facilities across the Middle East, Africa, and Asia. The company is known for its innovative customer experiences and sustainable business practices.",Retail And Leisure,"10,001+ employees",$1B - $10B,USD,,Private Company,43000,6712.0,c0c358ee7528ddc77568a3cf330d97c5
Maple Leaf Foods Inc.,mapleleaffoods.com,https://linkedin.com/company/maple-leaf-foods,"Mississauga, Canada",Canada,"Maple Leaf Foods Inc. is a leading Canadian consumer packaged goods company specializing in protein-based food products, including fresh and prepared meats. The company is committed to sustainability and producing high-quality, nutritious food.",Food Production,"10,001+ employees",$1B - $10B,USD,Canada,Public Company,13000,3543.0,553c2db20c06d0f8945cd59979503d67
Marks & Spencer,marksandspencer.com,https://linkedin.com/company/marks-and-spencer,"London, United Kingdom",Global,"Marks & Spencer is a leading British retailer offering high-quality clothing, home products, and food items. The company is known for its commitment to sustainability and innovation in retail.",Retail,"10,001+ employees",$10B+,USD,United Kingdom,Private Company,65000,14000.0,40fd9ae2ab2d920b76c398cb0d1850e8
Matsukiyococokara & Co.,matsukiyococokara.com,https://linkedin.com/company/matsukiyococokara,"Tokyo, Japan",Japan,"MatsukiyoCocokara & Co. is a leading Japanese retail company specializing in health, beauty, and wellness products. It operates a vast network of drugstores and pharmacies across Japan, offering a wide range of consumer goods.",Health And Beauty Retail,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,12000,6735.0,995dbbbcba42abbce712f953ff6d33cd
"Maxima Grupė, Uab",maximagrupe.eu,https://www.linkedin.com/company/maxima-grupe,"Vilnius, Lithuania",Baltic States and Central Europe,"Maxima Grupė, UAB is a leading retail company operating a chain of supermarkets and hypermarkets across the Baltic States, Poland, and other Central European countries.",Supermarkets And Hypermarkets,"10,001+ employees",$1B - $10B,USD,,Private Company,40000,6450.0,ed710a41444bf62fc7d82c4e6b00613e
Migros Ticaret A.Ş.,migros.com.tr,https://linkedin.com/company/migros-ticaret-a-ş,"Istanbul, Turkey",Turkey,"Migros Ticaret A.Ş. is a leading retail company in Turkey, operating supermarkets, hypermarkets, and convenience stores, offering a wide range of products including groceries, household items, and more.",Supermarkets And Grocery Retail,"10,001+ employees",$1B - $10B,USD,,Private Company,30000,5895.0,2abc5ba05426f02abeec6af5f076e49d
Müller Group,muellergroup.com,https://linkedin.com/company/muller-group,"Fischach, Germany",Europe,"Müller Group is a leading consumer packaged goods company specializing in dairy products, including yogurts, milk, and desserts. The company is known for its innovative and high-quality offerings in the food industry.",Dairy Products,"10,001+ employees",$1B - $10B,USD,Germany,Public Company,24000,7200.0,0194f9293bf16e944edb70cda450d6db
Mobile World Investment Corporation,thegioididong.com,https://linkedin.com/company/mobile-world-investment-corporation,"Ho Chi Minh City, Vietnam",Vietnam,"Mobile World Investment Corporation is a leading retail company in Vietnam, specializing in consumer electronics, home appliances, and grocery retail through its various store chains.",Consumer Electronics And Retail,"10,001+ employees",$1B - $10B,USD,,Private Company,70000,4912.0,98c1c5b6faecd0a2b92d2f9266969251
Molson Coors Brewing Co.,molsoncoors.com,https://linkedin.com/company/molson-coors,"Chicago, United States",Global,"Molson Coors Brewing Co. is a multinational brewing company that produces and distributes a wide range of beer and beverage products, including iconic brands such as Coors Light, Miller Lite, and Molson Canadian.",Beverage Manufacturing,"10,001+ employees",$10B+,USD,United States,Public Company,17000,11702.0,b041c29fd6fcb9f8588f236e463d3f1f
Neiman Marcus Group Ltd LLC,neimanmarcus.com,https://linkedin.com/company/neiman-marcus-group,"Dallas, United States",United States,"Neiman Marcus Group is a luxury retail company specializing in high-end fashion, accessories, and home decor, operating iconic department stores and e-commerce platforms.",Luxury Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,12000,4500.0,1669e5b7721ce98a6e2ed6a4b2d4382e
Nestlé S.A.,nestle.com,https://linkedin.com/company/nestle,"Vevey, Switzerland",Global,"Nestlé S.A. is a multinational food and beverage company, offering a wide range of products including coffee, bottled water, dairy, snacks, and pet care. It is one of the largest companies in the consumer packaged goods industry, with operations in nearly every country worldwide.",Food And Beverage,"10,001+ employees",$10B+,USD,Switzerland,Public Company,275000,103245.0,c463cd7e94230c3a03cd8803cdbd6b70
"Newell Brands, Inc.",newellbrands.com,https://linkedin.com/company/newell-brands,"Atlanta, United States",Global,"Newell Brands, Inc. is a leading global consumer goods company that designs, manufactures, and distributes a wide range of products across various categories, including home, kitchen, office, and outdoor essentials.",Consumer Packaged Goods,"10,001+ employees",$1B - $10B,USD,United States,Public Company,31000,8483.0,e420c0e2581382833eac464f876e887d
"Nike, Inc. / Nike Direct",nike.com,https://linkedin.com/company/nike,"Beaverton, United States",Global,"Nike, Inc. is a global leader in the design, development, and marketing of athletic footwear, apparel, equipment, and accessories. Nike Direct focuses on direct-to-consumer sales through its retail stores and e-commerce platforms.",Sporting Goods And Apparel,"10,001+ employees",$10B+,USD,United States,Private Company,79000,22351.0,f43702208671a72564a1d7a0a19153df
"Nitori Holdings Co., Ltd.",nitori.co.jp,https://linkedin.com/company/nitori,"Sapporo, Japan",Asia-Pacific,"Nitori Holdings Co., Ltd. is a leading Japanese retail company specializing in affordable furniture and home furnishings. The company operates a vast network of stores across Japan and internationally, offering stylish and functional products for everyday living.",Furniture And Home Furnishings Retail,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,30000,5975.0,5999e6a73c2137d6a977195219348395
"Nordstrom, Inc.",nordstrom.com,https://linkedin.com/company/nordstrom,"Seattle, United States",North America,"Nordstrom, Inc. is a leading fashion retailer offering clothing, shoes, and accessories for men, women, and children. The company operates through its department stores, e-commerce platform, and off-price Nordstrom Rack stores.",Fashion And Apparel Retail,"10,001+ employees",$10B+,USD,United States,Private Company,60000,15530.0,b1d7b3e28100e125a320e316026d33f8
Norma Unternehmens Stiftung,norma-online.de,https://linkedin.com/company/norma-unternehmens-stiftung,"Nuremberg, Germany",Germany,"NORMA Unternehmens Stiftung is a German retail company specializing in discount supermarkets, offering a wide range of groceries and household products at competitive prices.",Discount Retail,"5,001-10,000 employees",$1B - $10B,USD,Germany,Private Company,8000,5518.0,bb6977c9ff2b6cd22afb0a2cf6c974d3
Norgesgruppen ASA,norgesgruppen.no,https://linkedin.com/company/norgesgruppen,"Oslo, Norway",Norway,"NorgesGruppen ASA is one of Norway's largest retail groups, operating grocery stores, convenience stores, and wholesale distribution. The company focuses on providing high-quality products and services to consumers across the country.",Grocery Retail And Wholesale Distribution,"10,001+ employees",$10B+,USD,Norway,Private Company,28000,10773.0,69f5d25d14f02928d361fb41d362d915
"O'Reilly Automotive, Inc.",oreillyauto.com,https://linkedin.com/company/o'reilly-auto-parts,"Springfield, United States",United States,"O'Reilly Automotive, Inc. is a leading retailer of automotive parts, tools, supplies, equipment, and accessories, serving both professional service providers and do-it-yourself customers.",Automotive Retail,"10,001+ employees",$10B+,USD,United States,Private Company,84000,15807.0,c121f68f4e9d8af3c7e2950e21e18c4d
